id,nama,alamat,rating,jumlah_review,deskripsi,koordinat,url,provinsi,foto,kategori
235,Tilalohe Beach Resort,"Biluhu Tim., Kec. Batudaa Pantai",4.5,137,"Tilalohe Beach Resort adalah sebuah tempat wisata yang terletak di Biluhu Tim., Kec. Batudaa Pantai, Provinsi Gorontalo. Tempat ini menawarkan keindahan tempat wisata yang indah, serta berbagai aktivitas menarik bagi pengunjung.","{'latitude': 0.4884746, 'longitude': 122.942183}",https://www.google.com/maps/place/Tilalohe+Beach+Resort/data=!4m7!3m6!1s0x3278d76d9d5717ff:0xb28f12e872d6c4fe!8m2!3d0.4884746!4d122.942183!16s%2Fg%2F11ns8gyqz7!19sChIJ_xdXnW3XeDIR_sTWcugSj7I?authuser=0&hl=id&rclk=1,Gorontalo,"['https://lh3.googleusercontent.com/gps-cs-s/AC9h4npRLTCcibIvXl_6NUEGLWeL7jxZQuhst5euSkRTzDrQj-rBLItZ7WwJkZMFqIfLmim6NZLNDgJDP3IVQjR_fxdZotm8rRaoBFF_F1_VIcT4_pQA2Jnki2qEG6t8W-fYeSUoE5Jp=w129-h86-k-no', 'https://lh3.googleusercontent.com/gps-cs-s/AC9h4npRLTCcibIvXl_6NUEGLWeL7jxZQuhst5euSkRTzDrQj-rBLItZ7WwJkZMFqIfLmim6NZLNDgJDP3IVQjR_fxdZotm8rRaoBFF_F1_VIcT4_pQA2Jnki2qEG6t8W-fYeSUoE5Jp=w408-h272-k-no', 'https://lh3.googleusercontent.com/gps-cs-s/AC9h4npRLTCcibIvXl_6NUEGLWeL7jxZQuhst5euSkRTzDrQj-rBLItZ7WwJkZMFqIfLmim6NZLNDgJDP3IVQjR_fxdZotm8rRaoBFF_F1_VIcT4_pQA2Jnki2qEG6t8W-fYeSUoE5Jp=w447-h298-k-no']",['pantai']
236,Pantai tihu,"Tihu, Kec. Bonepantai, Gorontalo",4.4,77,"Pantai Tihu adalah sebuah tempat wisata yang terletak di Tihu, Kec. Bonepantai, Provinsi Gorontalo. Tempat ini menawarkan keindahan tempat wisata yang indah, serta berbagai aktivitas menarik bagi pengunjung.","{'latitude': 0.3677629, 'longitude': 123.2166079}",https://www.google.com/maps/place/Pantai+tihu/data=!4m7!3m6!1s0x327f317f5d5934ff:0xcbcda02bc565a9ec!8m2!3d0.3677629!4d123.2166079!16s%2Fg%2F11rsfbn9b0!19sChIJ_zRZXX8xfzIR7KllxSugzcs?authuser=0&hl=id&rclk=1,Gorontalo,"['https://lh3.googleusercontent.com/gps-cs-s/AC9h4noijtMt06Bjma2x__om4sgKy2-Fdh9GOSUHfa4iB2ya3DbzMsC0gWw60ZpUlnTvyuGgJW6rUq4UlMkyrtQKdnYCWWQqxidGGaE0zIHu4XBDLx46MvNkq5HmVL_oa3psUNecqps4ug=w426-h240-k-no', 'https://lh3.googleusercontent.com/gps-cs-s/AC9h4noijtMt06Bjma2x__om4sgKy2-Fdh9GOSUHfa4iB2ya3DbzMsC0gWw60ZpUlnTvyuGgJW6rUq4UlMkyrtQKdnYCWWQqxidGGaE0zIHu4XBDLx46MvNkq5HmVL_oa3psUNecqps4ug=w529-h298-k-no', 'https://lh3.googleusercontent.com/gps-cs-s/AC9h4npXwslI7HPFAXy4s6eDA8vCAlC2PL1AkCi_Ex6KtAsojp9HtghxwO9OyhHXcmJgox067L4p-UyyP76P3X5sGLB84ThNu2L5iNQmRlHWmzwxD_6mN-3EFaaLmkC-BrmhhzhAIo1X4A=w224-h398-k-no']",['pantai']
237,Villa Desaku,"Molowahu, Kec. Tibawa",4.3,196,"Villa Desaku adalah sebuah tempat wisata yang terletak di Molowahu, Kec. Tibawa, Provinsi Gorontalo. Tempat ini menawarkan keindahan tempat wisata yang indah, serta berbagai aktivitas menarik bagi pengunjung.","{'latitude': 0.6095734, 'longitude': 122.8526737}",https://www.google.com/maps/place/Villa+Desaku/data=!4m7!3m6!1s0x3279255c71fe4efb:0x8c140936474a6e29!8m2!3d0.6095734!4d122.8526737!16s%2Fg%2F11t3z6ljpd!19sChIJ-07-cVwleTIRKW5KRzYJFIw?authuser=0&hl=id&rclk=1,Gorontalo,"['https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrzUl-MF-wj_rjfSwg50r0NaaSh7_oC0RcPtXkRDmz4HQsYQkKVyfbf3TBnimAQWvLfEbcmB3t-4gKC2DjApDWNQqmJ4ryehfZLF5B3L2J9NTHgQxyC8VlcCDqVLEG5Wg=w408-h305-k-no', 'https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrzUl-MF-wj_rjfSwg50r0NaaSh7_oC0RcPtXkRDmz4HQsYQkKVyfbf3TBnimAQWvLfEbcmB3t-4gKC2DjApDWNQqmJ4ryehfZLF5B3L2J9NTHgQxyC8VlcCDqVLEG5Wg=w398-h298-k-no', 'https://lh3.googleusercontent.com/p/AF1QipOrdCrlbE2lfMd6lob7I12Rlaifb1kfH7A2jITJ=w224-h298-k-no']",['lainnya']
238,Taman Wisata Religius Bubohu,"Unnamed Road, Bongo, Kec. Batudaa Pantai",4.6,315,"Taman Wisata Religius Bubohu adalah sebuah tempat wisata yang terletak di Bongo, Kec. Batudaa Pantai, Provinsi Gorontalo. Tempat ini menawarkan keindahan tempat wisata yang indah, serta berbagai aktivitas menarik bagi pengunjung.","{'latitude': 0.4989781, 'longitude': 123.0331749}",https://www.google.com/maps/place/Taman+Wisata+Religius+Bubohu/data=!4m7!3m6!1s0x3278d555142bce69:0xdc926acfc722b1fc!8m2!3d0.4989781!4d123.0331749!16s%2Fg%2F11h4s25f_l!19sChIJac4rFFXVeDIR_LEix89qktw?authuser=0&hl=id&rclk=1,Gorontalo,"['https://lh3.googleusercontent.com/gps-cs-s/AC9h4no1jECmbvNzAlJ0--LhkhJBAYWySNA_C1p3oQ-MLy-XiS29opmdhesPAo4SM1TMsCMln9Igp1LojifnOTRH3faPXqBJGHMt5AHtCCikPaCV4gsB-qbgTtkXyXzwgGK_mGUPshNs0g=w114-h86-k-no', 'https://lh3.googleusercontent.com/gps-cs-s/AC9h4no1jECmbvNzAlJ0--LhkhJBAYWySNA_C1p3oQ-MLy-XiS29opmdhesPAo4SM1TMsCMln9Igp1LojifnOTRH3faPXqBJGHMt5AHtCCikPaCV4gsB-qbgTtkXyXzwgGK_mGUPshNs0g=w408-h306-k-no', 'https://lh3.googleusercontent.com/gps-cs-s/AC9h4no1jECmbvNzAlJ0--LhkhJBAYWySNA_C1p3oQ-MLy-XiS29opmdhesPAo4SM1TMsCMln9Igp1LojifnOTRH3faPXqBJGHMt5AHtCCikPaCV4gsB-qbgTtkXyXzwgGK_mGUPshNs0g=w397-h298-k-no']",['taman']
239,Water Sport Objek Wisata Pantai Molotabu,"Molotabu, Kec. Kabila Bone, Gorontalo",4.4,78,"Water Sport Objek Wisata Pantai Molotabu adalah sebuah tempat wisata yang terletak di Molotabu, Kec. Kabila Bone, Provinsi Gorontalo. Tempat ini menawarkan keindahan tempat wisata yang indah, serta berbagai aktivitas menarik bagi pengunjung.","{'latitude': 0.4412439, 'longitude': 123.1319708}",https://www.google.com/maps/place/Water+Sport+Objek+Wisata+Pantai+Molotabu/data=!4m7!3m6!1s0x327f2b87735eb2e1:0x98da829d957feef9!8m2!3d0.4412439!4d123.1319708!16s%2Fg%2F11c2p_hwj4!19sChIJ4bJec4crfzIR-e5_lZ2C2pg?authuser=0&hl=id&rclk=1,Gorontalo,"['https://lh3.googleusercontent.com/gps-cs-s/AC9h4noO7GnpNQfbb_baP5WJy8dPyA9BAVXtgLN-GHtZ5KYUSiw-pTJB74Rp5SpLT-BobkaaN125TmknU1V-6Uq84RAwGQvMI0wbF3keBnz6c-RdkG_8S9M4QSBHf9090yDjZlAmi9XkOA=w426-h240-k-no', 'https://lh3.googleusercontent.com/gps-cs-s/AC9h4noO7GnpNQfbb_baP5WJy8dPyA9BAVXtgLN-GHtZ5KYUSiw-pTJB74Rp5SpLT-BobkaaN125TmknU1V-6Uq84RAwGQvMI0wbF3keBnz6c-RdkG_8S9M4QSBHf9090yDjZlAmi9XkOA=w529-h298-k-no', 'https://lh3.googleusercontent.com/gps-cs-s/AC9h4npb1b3XtRFPAU6o6c7IyJKYt6NN7dm5mVF7Cdb2G28v3m00ajCcBlt3_o9MG4sisvBXm2l4IGRogov2Yu_CqoVBOgeaMCQmofvOYwuvaMyg14E95DYmKDmClwtFVlYq871DXC0jlA=w224-h398-k-no']",['pantai']
240,Serambi Madinah,"Biawu, Kec. Hulonthalangi",4.3,6,"Serambi Madinah adalah sebuah tempat wisata yang terletak di Biawu, Kec. Hulonthalangi, Provinsi Gorontalo. Tempat ini menawarkan keindahan tempat wisata yang indah, serta berbagai aktivitas menarik bagi pengunjung.","{'latitude': 0.534296, 'longitude': 123.0548271}",https://www.google.com/maps/place/Serambi+Madinah/data=!4m7!3m6!1s0x32792ae05e470661:0x199c22a78c2a4560!8m2!3d0.534296!4d123.0548271!16s%2Fg%2F11h27y3ffq!19sChIJYQZHXuAqeTIRYEUqjKcinBk?authuser=0&hl=id&rclk=1,Gorontalo,"['https://lh3.googleusercontent.com/gps-cs-s/AC9h4npidRPW2qTRbU7lAukNKedWOeZfjd7ihXuI8Kb_ecRoek6F8V1vLhh8ih8w2DPMsbNxvgKdj4fZSQUvAA-km-tBlFmXcBSvZnlZiCXzppAWCSaofmFLWZ51_exQJui_0pgCLZU=w408-h306-k-no', 'https://lh3.googleusercontent.com/gps-cs-s/AC9h4npidRPW2qTRbU7lAukNKedWOeZfjd7ihXuI8Kb_ecRoek6F8V1vLhh8ih8w2DPMsbNxvgKdj4fZSQUvAA-km-tBlFmXcBSvZnlZiCXzppAWCSaofmFLWZ51_exQJui_0pgCLZU=w397-h298-k-no', 'https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqV0twpMgIaqZiQz5YuHPElNYtSCw0rcs-W55zWxqlEQ3xakOr0upQMIAMFuH2T3Ttuam2Jp2werlPv-T8a7ifUln2mzIBpoZM2BNt3miU0oY_BXV_edU56uLHgjZ4y22lxtzA=w529-h298-k-no']",['lainnya']
241,Wisata Alam Bukit Peyapata,"Tunggulo, Kec. Tilongkabila",4.6,87,"Wisata Alam Bukit Peyapata adalah sebuah tempat wisata yang terletak di Tunggulo, Kec. Tilongkabila, Provinsi Gorontalo. Tempat ini menawarkan keindahan tempat wisata yang indah, serta berbagai aktivitas menarik bagi pengunjung.","{'latitude': 0.5934375, 'longitude': 123.1481875}",https://www.google.com/maps/place/Wisata+Alam+Bukit+Peyapata/data=!4m7!3m6!1s0x327ed3c9ba1d26c1:0x5f15ae4d38bc4f50!8m2!3d0.5934375!4d123.1481875!16s%2Fg%2F11fyzcrsd5!19sChIJwSYdusnTfjIRUE-8OE2uFV8?authuser=0&hl=id&rclk=1,Gorontalo,"['https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr2nTJNj5NVshMG0G2Qlzcr14tvn8F_5hMIlnflql0olnfd3AN_A6F9rJudHOLQAb64Zm_Ljno2idqAot9KGbAXRS7jJLDSoxnwQk5XKo0gNLoIxd5ysvwRJaB7Vdu7GsIWkg1Sxg=w114-h86-k-no', 'https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr2nTJNj5NVshMG0G2Qlzcr14tvn8F_5hMIlnflql0olnfd3AN_A6F9rJudHOLQAb64Zm_Ljno2idqAot9KGbAXRS7jJLDSoxnwQk5XKo0gNLoIxd5ysvwRJaB7Vdu7GsIWkg1Sxg=w408-h306-k-no', 'https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr2nTJNj5NVshMG0G2Qlzcr14tvn8F_5hMIlnflql0olnfd3AN_A6F9rJudHOLQAb64Zm_Ljno2idqAot9KGbAXRS7jJLDSoxnwQk5XKo0gNLoIxd5ysvwRJaB7Vdu7GsIWkg1Sxg=w397-h298-k-no']","['gunung', 'wisata_alam']"
242,Taman Laut Olele,"Olele, Kec. Kabila Bone",4.7,843,"Taman Laut Olele adalah sebuah taman laut dan kawasan wisata bahari yang berlokasi di Gorontalo, Sulawesi, Indonesia.
Taman Laut Olele mulai dicanangkan sebagai kawasan wisata pada tahun 2005 oleh Fadel Muhammad, Gubernur Gorontalo saat itu. Pada tahun 2006, pemerintah daerah kemudian menetapkan Taman Laut Olele sebagai Kawasan Konservasi Laut Daerah (KKLD). Tujuannya untuk menjaga dan melestarikan biota laut endemik, terumbu karang serta keindahan bawah laut lainnya di taman laut ini.","{'latitude': 0.4100429, 'longitude': 123.1525524}",https://www.google.com/maps/place/Taman+Laut+Olele/data=!4m7!3m6!1s0x327edbffffffffff:0x25123d4bff1ef367!8m2!3d0.4100429!4d123.1525524!16s%2Fg%2F11clys_yzm!19sChIJ_______bfjIRZ_Me_0s9EiU?authuser=0&hl=id&rclk=1,Gorontalo,"['https://lh3.googleusercontent.com/p/AF1QipPnS7LcY_7n_KBLD_LF7am8hyrE_LP3aoTZaNTN=w114-h86-k-no', 'https://lh3.googleusercontent.com/p/AF1QipPnS7LcY_7n_KBLD_LF7am8hyrE_LP3aoTZaNTN=w408-h306-k-no', 'https://lh3.googleusercontent.com/p/AF1QipPnS7LcY_7n_KBLD_LF7am8hyrE_LP3aoTZaNTN=w397-h298-k-no']","['pantai', 'taman']"
243,Monumen Nani Wartabone,"Tenda, Kec. Hulonthalangi",4.6,179,"Monumen Nani Wartabone dibangun pada tahun 1987 oleh Wali Kota Gorontalo ke-5, Bapak Drs. A. Nadjamudin. Monumen ini dibangun untuk menghomati jasa Pahlawan Nasional sekaligus Perintis Kemerdekaan, Bapak Nani Wartabone. Nani Wartabone merupakan seorang Proklamator Kemerdekaan Indonesia di Gorontalo pada 23 Januari 1942. Dengan peristiwa ini, Gorontalo menjadi salah satu wilayah paling awal di Indonesia yang berhasil memerdekakan diri, 3 tahun sebelum Indonesia merdeka dan sebelum Bung Karno dan ...","{'latitude': 0.5303939, 'longitude': 123.059356}",https://www.google.com/maps/place/Monumen+Nani+Wartabone/data=!4m7!3m6!1s0x32792adc528a0c7b:0x8324cfb3f6146a7a!8m2!3d0.5303939!4d123.059356!16s%2Fg%2F1q5bqmc7k!19sChIJewyKUtwqeTIRemoU9rPPJIM?authuser=0&hl=id&rclk=1,Gorontalo,"['https://lh3.googleusercontent.com/gps-cs-s/AC9h4noshGMkQJBGzfZc0qeB6_Cg1Kkz1TmsvL0D_Om_OFXk0M1L-1LcInH7k4ozNLO-GyAKMan4B_95t44dFQJ1vtGmzAc4fb8BBlOIxcWUmafc5cOgyNasie_TJ3PplQuy9FN0Jk3w=w408-h544-k-no', 'https://lh3.googleusercontent.com/gps-cs-s/AC9h4noshGMkQJBGzfZc0qeB6_Cg1Kkz1TmsvL0D_Om_OFXk0M1L-1LcInH7k4ozNLO-GyAKMan4B_95t44dFQJ1vtGmzAc4fb8BBlOIxcWUmafc5cOgyNasie_TJ3PplQuy9FN0Jk3w=w224-h298-k-no', 'https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrwsjR52ujPS2_1nX95-0_LNbGZD4C9YMl4eY2yzk74klTKK-5WWJnd1qan44jSn41O7KFk81zZHKVDsYxoFOUC2jEUlZzDqTVdrx5uCaYRvMnnzTDXEWgZVZPIo1AVdP5V8Jpm=w224-h298-k-no-pi-0-ya180-ro0-fo100']",['situs_sejarah']
244,Wisata Hiu Paus Botubarani Gorontalo,"Botubarani, Kec. Kabila Bone",4.7,1.113,"Wisata Hiu Paus Botubarani Gorontalo adalah sebuah tempat wisata yang terletak di Botubarani, Kec. Kabila Bone, Provinsi Gorontalo. Tempat ini menawarkan keindahan tempat wisata yang indah, serta berbagai aktivitas menarik bagi pengunjung.","{'latitude': 0.4746294, 'longitude': 123.1011491}",https://www.google.com/maps/place/Wisata+Hiu+Paus+Botubarani+Gorontalo/data=!4m7!3m6!1s0x327f2b1ebb06a7ad:0x6e207bf0624d792f!8m2!3d0.4746294!4d123.1011491!16s%2Fg%2F11cp7509qr!19sChIJracGux4rfzIRL3lNYvB7IG4?authuser=0&hl=id&rclk=1,Gorontalo,"['https://lh3.googleusercontent.com/gps-cs-s/AC9h4noch5UgpXiwqOfMO4hSHlYrrEoD0I5GhZ0naVnhSSOMw_kLZkt3n8XCtwvThalkc8HucPqL7z2LS-yHgRBoybSWgYMKQfC4ECF2Fpwl_qunzGoOMsQVLarlPyCYoFzHcN46MKsS=w86-h107-k-no', 'https://lh3.googleusercontent.com/gps-cs-s/AC9h4noch5UgpXiwqOfMO4hSHlYrrEoD0I5GhZ0naVnhSSOMw_kLZkt3n8XCtwvThalkc8HucPqL7z2LS-yHgRBoybSWgYMKQfC4ECF2Fpwl_qunzGoOMsQVLarlPyCYoFzHcN46MKsS=w408-h510-k-no', 'https://lh3.googleusercontent.com/gps-cs-s/AC9h4noch5UgpXiwqOfMO4hSHlYrrEoD0I5GhZ0naVnhSSOMw_kLZkt3n8XCtwvThalkc8HucPqL7z2LS-yHgRBoybSWgYMKQfC4ECF2Fpwl_qunzGoOMsQVLarlPyCYoFzHcN46MKsS=w238-h298-k-no']",['lainnya']
245,Dulanga Beach,"Bongo, Kec. Batudaa Pantai",4.4,445,"Dulanga Beach adalah sebuah tempat wisata yang terletak di Bongo, Kec. Batudaa Pantai, Provinsi Gorontalo. Tempat ini menawarkan keindahan tempat wisata yang indah, serta berbagai aktivitas menarik bagi pengunjung.","{'latitude': 0.4945251, 'longitude': 123.0287939}",https://www.google.com/maps/place/Dulanga+Beach/data=!4m7!3m6!1s0x3278d5ac19bb21f7:0xdc33f9ea51d13165!8m2!3d0.4945251!4d123.0287939!16s%2Fg%2F11f5v0l9jc!19sChIJ9yG7GazVeDIRZTHRUer5M9w?authuser=0&hl=id&rclk=1,Gorontalo,"['https://lh3.googleusercontent.com/gps-cs-s/AC9h4noT5hsL76Uk-0j1aiqTd5ch--MwqKqbG6xNESYIUz8zRiLYsJKqEOt6RTEcbJ_kYgMonHOX7V2NzGZpZrc4TmcYH7zuQCGZFq2nFV-RvhGunV68ZmEZm07gnGi3cLwFcGKIhLKv=w86-h114-k-no', 'https://lh3.googleusercontent.com/gps-cs-s/AC9h4noT5hsL76Uk-0j1aiqTd5ch--MwqKqbG6xNESYIUz8zRiLYsJKqEOt6RTEcbJ_kYgMonHOX7V2NzGZpZrc4TmcYH7zuQCGZFq2nFV-RvhGunV68ZmEZm07gnGi3cLwFcGKIhLKv=w408-h544-k-no', 'https://lh3.googleusercontent.com/gps-cs-s/AC9h4noT5hsL76Uk-0j1aiqTd5ch--MwqKqbG6xNESYIUz8zRiLYsJKqEOt6RTEcbJ_kYgMonHOX7V2NzGZpZrc4TmcYH7zuQCGZFq2nFV-RvhGunV68ZmEZm07gnGi3cLwFcGKIhLKv=w224-h298-k-no']",['pantai']
246,Taman Lahilote,Limba U Dua,4.4,328,"Taman Lahilote adalah sebuah tempat wisata yang terletak di Limba U Dua, Kec. Batudaa Pantai, Provinsi Gorontalo. Tempat ini menawarkan keindahan tempat wisata yang indah, serta berbagai aktivitas menarik bagi pengunjung.","{'latitude': 0.5519297, 'longitude': 123.0555861}",https://www.google.com/maps/place/Taman+Lahilote/data=!4m7!3m6!1s0x32792b6ab29587d7:0x9e1d515944e9c08!8m2!3d0.5519297!4d123.0555861!16s%2Fg%2F11by__8r2y!19sChIJ14eVsmoreTIRCJxOlBXV4Qk?authuser=0&hl=id&rclk=1,Gorontalo,"['https://lh3.googleusercontent.com/gps-cs-s/AC9h4nofP1bNMf7elhBwADLrDNhtlRwGOOWVHBz0tjwJz_PwgMlE-QEJil6YnJ55dkr1bQQGC32e2kS_6ZK8fAzVgr8GHdQFBnGYoFPgcjzoZ7iMG9ih7yn_-y7O7rDaSnfAIH6Imco=w426-h240-k-no', 'https://lh3.googleusercontent.com/gps-cs-s/AC9h4nofP1bNMf7elhBwADLrDNhtlRwGOOWVHBz0tjwJz_PwgMlE-QEJil6YnJ55dkr1bQQGC32e2kS_6ZK8fAzVgr8GHdQFBnGYoFPgcjzoZ7iMG9ih7yn_-y7O7rDaSnfAIH6Imco=w529-h298-k-no', 'https://lh3.googleusercontent.com/gps-cs-s/AC9h4noMWUjMvXmgadyOGy7a5xTYnR53GNHV_xHnmAsoQPWmXa8W3GjZO575aczicpddWjuSfWX1MpjiI41OVvMrEOnpjBaHlykQ9bMPdyyKTg-XRoPuB3HXJvR8qo8T1YgJJiG0_BNv=w629-h298-k-no']",['taman']
247,Pantai Oluhuta,"Oluhuta, Kec. Kabila Bone, Gorontalo",4.6,27,"Pantai Oluhuta adalah sebuah tempat wisata yang terletak di Oluhuta, Kec. Kabila Bone, Provinsi Gorontalo. Tempat ini menawarkan keindahan tempat wisata yang indah, serta berbagai aktivitas menarik bagi pengunjung.","{'latitude': 0.4189362, 'longitude': 123.1451407}",https://www.google.com/maps/place/Pantai+Oluhuta/data=!4m7!3m6!1s0x327f2d73d63a23af:0xb9f2ae709fa85a7f!8m2!3d0.4189362!4d123.1451407!16s%2Fg%2F11nr__h4y4!19sChIJryM61nMtfzIRf1qon3Cu8rk?authuser=0&hl=id&rclk=1,Gorontalo,"['https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqganPB4De_SLn9dWB4Uzzzyi1UyJIrEs4DDcjjkxLH1XZPPIq1EzjW1wxa5rk5VzzNYx9dUriwcnxkqBul_GbZBuYsk__apIj0Fw82KvliSQHHaCsMFrac3e5SNJFTYJtIIWrWcA=w86-h152-k-no', 'https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqganPB4De_SLn9dWB4Uzzzyi1UyJIrEs4DDcjjkxLH1XZPPIq1EzjW1wxa5rk5VzzNYx9dUriwcnxkqBul_GbZBuYsk__apIj0Fw82KvliSQHHaCsMFrac3e5SNJFTYJtIIWrWcA=w408-h725-k-no', 'https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqganPB4De_SLn9dWB4Uzzzyi1UyJIrEs4DDcjjkxLH1XZPPIq1EzjW1wxa5rk5VzzNYx9dUriwcnxkqBul_GbZBuYsk__apIj0Fw82KvliSQHHaCsMFrac3e5SNJFTYJtIIWrWcA=w224-h398-k-no']",['pantai']
248,Benteng Otanaha,Dembe I,4.5,1.978,"Benteng Otanaha terletak di atas perbukitan Kelurahan Dembe I, Kecamatan Kota Barat, Kota Gorontalo. Lokasi benteng merupakan salah satu cagar budaya di Provinsi Gorontalo.
Benteng memiliki 4 buah tempat persinggahan dan 348 buah anak tangga ke puncak sampai ke lokasi benteng. Masing-masing jumlah anak tangga tidak sama untuk setiap persinggahan. Dari dasar ke tempat persinggahan I terdapat 52 anak tangga, ke persinggahan II terdapat 83 anak tangga, ke persinggahan III terdapat 53 anak tangga, d...","{'latitude': 0.5482328, 'longitude': 123.0084128}",https://www.google.com/maps/place/Benteng+Otanaha/data=!4m7!3m6!1s0x32792bc16bd20cf7:0x23cc0495aa68abd0!8m2!3d0.5482328!4d123.0084128!16s%2Fm%2F0nhj9dm!19sChIJ9wzSa8EreTIR0KtoqpUEzCM?authuser=0&hl=id&rclk=1,Gorontalo,"['https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqttfZt667NEH3Hv6HzjqN4T9Gl1fIyTn7YXsYkgIfF1zYojgY9b-bHuTaQbBAlO0LYtn_fSVD9VymBtBnGC9OK8yfJEGNj8l8uIWoricvl9tBlZYTP0IrA2BhdwUV56aUmW6uN=w129-h86-k-no', 'https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqttfZt667NEH3Hv6HzjqN4T9Gl1fIyTn7YXsYkgIfF1zYojgY9b-bHuTaQbBAlO0LYtn_fSVD9VymBtBnGC9OK8yfJEGNj8l8uIWoricvl9tBlZYTP0IrA2BhdwUV56aUmW6uN=w408-h270-k-no', 'https://lh3.googleusercontent.com/gps-cs-s/AC9h4np_Pr0MbNzAJirOdYTberMjZHA2DSzpsqCaRWD4ys-KBxVosHB-VUn2QZWeVYQ_4E3YXDvcQCsmIdx_bjDXLM1Sa3huDloQgH-tfycqKYcDYes_NjHayqqByY9qNb15NdQ7STTS=w447-h298-k-no']","['gunung', 'benteng']"
249,Pantai Pohon Cinta,"Wisata Pohon Cinta, Pohuwato Tim., Kec. Marisa",4.5,1.629,"Pantai Pohon Cinta adalah sebuah tempat wisata yang terletak di Pohuwato Tim., Kec. Marisa, Provinsi Gorontalo. Tempat ini menawarkan keindahan tempat wisata yang indah, serta berbagai aktivitas menarik bagi pengunjung.","{'latitude': 0.4495014, 'longitude': 121.9481098}",https://www.google.com/maps/place/Pantai+Pohon+Cinta/data=!4m7!3m6!1s0x327835d4af633dd7:0xaf4c8f7f07f62bc7!8m2!3d0.4495014!4d121.9481098!16s%2Fg%2F11crzqbp6p!19sChIJ1z1jr9Q1eDIRxyv2B3-PTK8?authuser=0&hl=id&rclk=1,Gorontalo,"['https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqjfbrMwSw9PdUNNpzJgiNWseu4XY0T_B6pjjvbha0Z1uKHZFZUvx9b3gmtnlW3r2eFKY3c3iw9RdHsUvGJcGmF32uc8HA1ILvRiSCEcqr8wZNn4foGeOSFOPJ02r3OUfhXg5-i=w114-h86-k-no', 'https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqjfbrMwSw9PdUNNpzJgiNWseu4XY0T_B6pjjvbha0Z1uKHZFZUvx9b3gmtnlW3r2eFKY3c3iw9RdHsUvGJcGmF32uc8HA1ILvRiSCEcqr8wZNn4foGeOSFOPJ02r3OUfhXg5-i=w408-h306-k-no', 'https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqjfbrMwSw9PdUNNpzJgiNWseu4XY0T_B6pjjvbha0Z1uKHZFZUvx9b3gmtnlW3r2eFKY3c3iw9RdHsUvGJcGmF32uc8HA1ILvRiSCEcqr8wZNn4foGeOSFOPJ02r3OUfhXg5-i=w397-h298-k-no']",['pantai']
250,Wisata Bukit Arang Gorontalo,"Lonuo, Kec. Tilongkabila",4.5,83,"Wisata Bukit Arang Gorontalo adalah sebuah tempat wisata yang terletak di Lonuo, Kec. Tilongkabila, Provinsi Gorontalo. Tempat ini menawarkan keindahan tempat wisata yang indah, serta berbagai aktivitas menarik bagi pengunjung.","{'latitude': 0.6060586, 'longitude': 123.1245705}",https://www.google.com/maps/place/Wisata+Bukit+Arang+Gorontalo/data=!4m7!3m6!1s0x327ed382a2b8b81f:0xf0913e9492691eb6!8m2!3d0.6060586!4d123.1245705!16s%2Fg%2F11jtrpczh8!19sChIJH7i4ooLTfjIRth5pkpQ-kfA?authuser=0&hl=id&rclk=1,Gorontalo,"['https://lh3.googleusercontent.com/p/AF1QipPUMYUHRotmV6NWRG8ztyxuSx3Zeh-DmMLyzTNH=w119-h86-k-no', 'https://lh3.googleusercontent.com/p/AF1QipPUMYUHRotmV6NWRG8ztyxuSx3Zeh-DmMLyzTNH=w408-h292-k-no', 'https://lh3.googleusercontent.com/p/AF1QipPUMYUHRotmV6NWRG8ztyxuSx3Zeh-DmMLyzTNH=w415-h298-k-no']",['gunung']
